"State","Year","Children Age 12 or Younger at Entry (%)","Children Older than 12 Years at Entry (%)","Missing Data (%)","Number of Children Exiting to Emancipation"
"Alabama","2023","15.3","84.7","0.0","215"
"Alaska","2023","25.0","75.0","0.0","4"
"Arizona","2023","13.5","86.5","0.0","731"
"Arkansas","2023","DQ*","DQ*","DQ*","DQ*"
"California","2023","20.6","79.4","0.0","2,684"
"Colorado","2023","4.2","95.8","0.0","142"
"Connecticut","2023","17.4","82.6","0.0","86"
"Delaware","2023","11.1","88.9","0.0","36"
"District of Columbia","2023","12.1","87.9","0.0","33"
"Florida","2023","10.4","89.6","0.0","768"
"Georgia","2023","16.8","83.2","0.0","535"
"Hawaii","2023","13.9","86.1","0.0","36"
"Idaho","2023","8.1","91.9","0.0","62"
"Illinois","2023","32.2","67.8","0.0","242"
"Indiana","2023","14.9","85.1","0.0","355"
"Iowa","2023","9.8","90.2","0.0","225"
"Kansas","2023","19.1","80.9","0.0","392"
"Kentucky","2023","6.5","93.5","0.0","495"
"Louisiana","2023","3.2","96.8","0.0","94"
"Maine","2023","13.0","87.0","0.0","23"
"Maryland","2023","25.1","74.9","0.0","171"
"Massachusetts","2023","10.9","89.1","0.0","184"
"Michigan","2023","12.1","87.9","0.0","577"
"Minnesota","2023","14.1","85.9","0.0","369"
"Mississippi","2023","12.0","88.0","0.0","50"
"Missouri","2023","13.4","86.6","0.0","433"
"Montana","2023","33.3","66.7","0.0","72"
"Nebraska","2023","11.1","88.9","0.0","135"
"Nevada","2023","27.7","72.3","0.0","47"
"New Hampshire","2023","3.3","96.7","0.0","60"
"New Jersey","2023","26.2","73.8","0.0","164"
"New Mexico","2023","2.0","98.0","0.0","51"
"New York","2023","20.9","79.1","0.0","709"
"North Carolina","2023","15.3","84.7","0.0","261"
"North Dakota","2023","18.2","81.8","0.0","55"
"Ohio","2023","8.1","91.9","0.0","1,188"
"Oklahoma","2023","20.5","79.5","0.0","215"
"Oregon","2023","27.7","72.3","0.0","195"
"Pennsylvania","2023","8.8","91.2","0.0","466"
"Puerto Rico","2023","50.0","50.0","0.0","44"
"Rhode Island","2023","8.2","91.8","0.0","97"
"South Carolina","2023","14.3","85.7","0.0","244"
"South Dakota","2023","10.3","89.7","0.0","68"
"Tennessee","2023","2.3","97.7","0.0","558"
"Texas","2023","32.1","67.9","0.0","703"
"Utah","2023","8.2","91.8","0.0","97"
"Vermont","2023","10.5","89.5","0.0","38"
"Virginia","2023","8.7","91.3","0.0","459"
"Washington","2023","22.1","77.9","0.0","163"
"West Virginia","2023","5.5","94.5","0.0","220"
"Wisconsin","2023","12.3","87.7","0.0","212"
"Wyoming","2023","14.3","85.7","0.0","14"
